Protein.IDs,Protein.names,QGene.names,LFQ.intensity.Human_Macs_D1_M1,LFQ.intensity.Human_Macs_D1_M2,LFQ.intensity.Human_Macs_D2_M1,LFQ.intensity.Human_Macs_D2_M2,LFQ.intensity.Human_Macs_D5_M1,LFQ.intensity.Human_Macs_D5_M2,LFQ.intensity.Human_Macs_D6_M1,LFQ.intensity.Human_Macs_D7_M2
A0A087WT20;Q9NV06;B3KME9;E5RHM4;Q9NV06-2,DDB1- and CUL4-associated factor 13,DCAF13,NA,25.00564579,25.01077599,26.57945866,24.76607754,25.75100684,25.72379924,25.58448523
A0A087WT30;Q8N5I9,Uncharacterized protein C12orf45,C12orf45,24.23059338,23.79203483,NA,NA,24.8038556,NA,NA,25.10509581
A0A087WT42;Q9NY64;H0Y7M6;Q5VVV6;Q5VVW0;Q5VVV3;Q5VVV5;Q5VVV4;Q5VVV9;Q5VVW5,"Solute carrier family 2, facilitated glucose transporter member 8",SLC2A8,27.77360457,26.47630123,NA,26.14777119,NA,26.42918093,25.57383692,26.85982044
A0A087WT87;P43003-2;P43003;A0A087X0U3;E7EV13,Amino acid transporter;Excitatory amino acid transporter 1,SLC1A3,28.86635042,26.58218954,28.03836703,26.68885856,28.02559346,27.1841394,28.6574801,27.31751723
A0A087WT99;Q9H0W9-2;Q9H0W9;E9PJU8;E9PQS1;Q9H0W9-4;E9PPB5;Q9H0W9-3;E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1,Ester hydrolase C11orf54,C11orf54,28.42442319,28.45375774,27.99264269,28.15990628,28.08222978,28.49136627,27.37276983,28.6026496
A0A087WTA5;Q9UI10-3;Q9UI10-2;H7C2L8;F8WEV6,Translation initiation factor eIF-2B subunit delta,EIF2B4,NA,NA,NA,23.56604567,NA,24.21460134,NA,NA
A0A087WTJ2;Q96F15;Q96F15-2,GTPase IMAP family member 5,GIMAP1-GIMAP5;GIMAP5,29.70205077,30.09408578,29.51318344,29.99496365,30.09886126,30.25541147,29.94139719,29.52772105
H0Y912;A0A087WTT5;Q96NX9-3;Q96NX9-4;Q96NX9-2;Q96NX9,Dachshund homolog 2,DACH2,NA,NA,NA,NA,NA,24.30702511,21.83918995,NA
A0A087WTV6;Q96C36;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0;J3QKT4;E2QRB3;P32322-2;P32322;P32322-3,Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase,PYCR2,26.14080746,26.88460095,25.80548017,27.38516845,26.84505641,26.15780734,28.52816834,26.81677684
F8VPA6;A0A087WU02;Q96RQ1;F8W0R1;F8VR88;F8VUZ2;H0YI50,Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC2,26.58333784,26.75633642,27.26552892,27.42205848,27.60830142,27.36202112,28.10184418,26.63256306
A0A087WU07;Q5TGZ0-2;Q5TGZ0;R4GMM1;R4GNA1,MICOS complex subunit MIC10,MINOS1,27.57520834,27.59555355,27.37335081,28.06830341,27.4086792,27.44742607,28.58767161,27.33287478
A0A087WU53;Q9H0U3;Q9H0U3-2,Magnesium transporter protein 1,MAGT1,29.67744454,30.14297021,30.23237869,30.24513188,30.26483575,30.4951462,31.01165324,30.14138744
A0A087WU70;Q8NET6-2;Q8NET6,Carbohydrate sulfotransferase 13,CHST13,NA,26.07871243,NA,26.36069909,NA,25.66844399,NA,26.05362002
A0A087WUB9;Q8WYA6-4;Q8WYA6;Q8WYA6-3;Q8WYA6-2;A2A2P1,Beta-catenin-like protein 1,CTNNBL1,29.44681503,29.26179082,29.73081781,29.36934144,29.40434063,29.18342965,29.4203326,29.40186139
E9PL01;A0A087WUC6;Q15005;E9PI68;E9PRB9;H0YE04,Signal peptidase complex subunit 2,SPCS2,31.55682079,31.89084608,31.80647309,31.92060821,31.83096326,32.03206666,32.33143392,31.39458198
A0A087WUD3;Q9NRP0;Q9NRP0-2,Oligosaccharyltransferase complex subunit OSTC,OSTC,27.88308643,27.75366134,28.98089983,28.05744693,27.68678999,28.21196818,29.00589738,28.21969639
J3QTS8;A0A087WUI4;A0A087X1U0;Q15661-2;Q15661;P20231;A0A0C4DGM1;A0A0C4DFZ7;Q9BZJ3-2;Q9BZJ3,Tryptase alpha/beta-1;Tryptase beta-2,TPSAB1;TPSB2,NA,NA,26.94536578,29.37914777,NA,NA,NA,NA
G5E9H5;C9JQ16;A0A087WUJ3;Q9Y5X0;Q9Y5X0-2,Sorting nexin-10,SNX10,26.95182629,25.02394517,28.57647033,25.853814,28.23086818,25.67589115,26.61133014,26.25295555
A0A087WUK2;O14979-3;O14979-2;O14979,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,31.7716777,31.29865565,32.13974195,31.61785022,31.42772329,31.32886884,31.9434597,31.02432571
A0A087WUM0;P57105;A0A087WTA2,Synaptojanin-2-binding protein,SYNJ2BP-COX16;SYNJ2BP,28.07663458,28.33870884,28.40880065,28.27666329,28.26217178,28.63543755,29.07324148,28.52005835
A0A087WUQ6;P07203;A0A2R8Y6B6;A0A494C1C9;A0A494C118;P07203-2,Glutathione peroxidase;Glutathione peroxidase 1,GPX1,33.82790097,34.31398996,33.32012407,33.69124874,33.3381722,34.28112626,33.26598154,34.08599115
E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4;A0A2R8Y8A0,40S ribosomal protein S24,RPS24,31.3848392,30.59138612,31.93280081,31.65185559,31.41175289,31.32565607,31.31035111,31.1788434
A0A087WUT6;O60841,Eukaryotic translation initiation factor 5B,EIF5B,31.19870637,31.24115861,31.02247491,31.36801986,31.15900401,31.15442383,30.65369301,31.37072417
Q9NXU5;A0A087WUW9;A0A0B4J222,ADP-ribosylation factor-like protein 15,ARL15,26.79674507,26.98065474,26.74995901,26.82868796,26.10858938,26.68257696,27.79352393,26.73298594
B4DGW0;A0A087WUY7;O75928-3;O75928-2;O75928;O75925;O75925-2,E3 SUMO-protein ligase PIAS2;E3 SUMO-protein ligase PIAS1,PIAS2;PIAS1,NA,NA,NA,23.6994352,NA,24.00273056,NA,23.87820587
Q99417;A0A087WV05;A0A0D9SEI7,C-Myc-binding protein,MYCBP,29.09559554,28.3607242,29.39329356,28.75738599,29.30549948,28.75334255,28.95521205,28.35497866
A0A0A0MR14;A0A0A0MRF2;A0A087X1R2;A0A087X0P3;A0A087WV17;A0A0G2JMM7;Q8IYS5-6;Q8IYS5-2;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5;Q8IYS5-7,Osteoclast-associated immunoglobulin-like receptor,OSCAR,28.20158351,26.88075329,27.30225598,26.02616358,27.98065474,27.28647908,28.57217504,25.97018034
F8W7C6;A0A087WV22;H7C123;H7C2C5;H7C2U2,,RPL10,28.32774519,29.14379743,29.55806246,28.66702305,28.83418487,28.73586096,28.08319403,28.77020525
A0A087WVA1;P62341;Q6IAK0;F8WBD0,Selenoprotein T,SELT,27.91979879,28.87349649,28.74826426,28.57945866,28.53826988,28.82853665,28.82499146,28.02585743
A0A087WVA8;Q8IWB9;Q8IWB9-2;J3KRZ8,Testis-expressed sequence 2 protein,TEX2,25.78954956,26.19544806,25.76600169,26.9234305,26.60710226,26.97650906,27.61147086,26.88692787
A0A087WVD7;Q9Y3D8-2;Q9Y3D8;D6RDH4;A0A087WY94,Adenylate kinase isoenzyme 6,TAF9;AK6,NA,25.05944943,NA,24.42245955,24.33258459,25.70819899,NA,25.58276381
A0A087WVF7;Q9NZM3-2;Q9NZM3;Q9NZM3-4;Q9NZM3-3;E7EPJ2;H7BZD4;H7C3E2;H0Y6W3;Q6J334;H0Y3G5,Intersectin-2,ITSN2,29.54535803,29.76832905,29.46801007,29.75746547,29.47473576,29.65064931,29.51681282,29.8275376
A0A087WVK0;B8ZZR0;F8WBF5;P49759;P49759-3,Dual specificity protein kinase CLK1,CLK1,24.84555896,27.31975811,24.10029082,25.15139535,25.09691779,27.91279333,24.14647048,27.641066
A0A087WVM4;B7ZM99;Q6UB35;H0Y327;Q4VXM0;Q5JYA8;Q5JYA3;Q6UB35-2;Q4VXM1;Q4VXV2,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,26.67155165,26.91695515,28.1470045,27.42061369,27.32156551,27.18347698,28.33841132,26.99215643
A0A0B4J227;A0A087WVM6;Q86XG9;Q96M43;Q5VWK0;Q5VWK0-2,Putative neuroblastoma breakpoint family member 5;Neuroblastoma breakpoint family member 4;Neuroblastoma breakpoint family member 6,NBPF6;NBPF4;NBPF5P,NA,NA,NA,NA,NA,NA,NA,23.45763738
A0A087WVQ6;Q00610-2;Q00610;J3KS13;K7EJJ5;J3KRF5;J3KSQ2;J3QL20;F5H5N6;A0A087WV74;A0A087WXH4,Clathrin heavy chain;Clathrin heavy chain 1,CLTC,36.72173886,36.77705862,36.61022372,36.86958598,36.72682191,36.80892461,36.86889641,36.84968642
A0A087WVS8;Q70IA6-2;Q70IA6;Q70IA6-3,MOB kinase activator 2,MOB2,27.04113808,27.22811775,27.21141126,26.51092977,26.22057302,26.48331528,26.31501367,26.66641365
A0A087WW39;P55198;A0A087WVY1;Q6P2C6,Protein AF-17,MLLT6,23.60014159,22.91135614,24.18048285,23.28545641,23.47827786,23.13102106,23.99688237,23.67066057
A0A087WW58;Q9C0D9,Ethanolaminephosphotransferase 1,EPT1,24.03657609,23.95207077,25.14024189,24.6276737,24.94346669,24.39073786,26.11949464,24.49490977
A0A087WW77;Q15334,Lethal(2) giant larvae protein homolog 1,LLGL1,NA,24.06734967,NA,25.12585265,24.62036438,NA,24.65430781,24.66307768
O60333-4;O60333;Q4R9M9;A0A087WWA3;O60333-2;O60333-3;A0A0U1RQL3;A0A3B3IUA1;A0A3B3ITW6;A0A3B3ITF7;A0A3B3ITE5;A0A3B3IT28;A0A3F2YNW9;A0A3B3IU40;Q12756;Q12756-3;Q12756-2;F8W8V9;A0A3B3ITK3;H7C0K6;H7C3Y8,Kinesin-like protein KIF1B;Kinesin-like protein,KIF1B;KIF1Bbeta,28.77159112,28.8688541,28.5032833,28.6807676,28.86517071,29.01081333,28.46548227,29.21918861
C9IZD2;C9J8Z7;C9JLE1;F8W8R3;A0A087WWF6;P49005;C9JHC7,DNA polymerase delta subunit 2,POLD2,NA,24.39760831,24.55736507,24.00410317,NA,24.27184597,23.82929304,24.43968025
Q5RIA9;Q5JTY5;A0A0A0MRU4;A0A087WWG3;A0A087X140;A0A0A6YYH9;Q5RIB0;H0Y5V3;Q4V339;Q9BRT8;Q5RIA9-3;Q9BRT8-3;Q5JTY5-2;Q8IUF1;A0A0B4J2F1;Q9BRT8-2;F2Z2T4;C9J3G2;E7EUZ7;F8WEU0;A0A087WZQ3;F8WEG4;Q6NVZ8;A0A0B4J2E3;A0A087WYD2;Q5JTY2;A0A087WTC0;Q5RIB5;Q9BRT8-4;A0A087X1C0;A0A0B4J1T6,COBW domain-containing protein 5;COBW domain-containing protein 3;COBW domain-containing protein 6;COBW domain-containing protein 1;COBW domain-containing protein 2,CBWD5;CBWD3;CBWD1;CBWD7;CBWD6;CBWD2,26.78656159,26.27223765,26.23396074,25.8634407,25.73396861,25.64052827,25.63123124,25.62939798
A0A087WWI0;Q9H2I8;M0R2H0;A0A087WZZ7,Leucine-rich repeat-containing protein C10orf11,C10orf11,26.36143556,27.85910952,25.81689888,27.75894303,26.71174741,28.59124343,26.64251272,28.63304832
A0A087WWJ1;A0A494C0M1;P52701-4;P52701-2;P52701-3;P52701,DNA mismatch repair protein Msh6,MSH6,NA,NA,NA,24.63261853,NA,23.65348801,NA,23.33973694
A0A2R8Y7T6;A0A087WWK8;A0A3B3IRZ4;Q6DN90;A0A3B3IU98;A0A0C4DGT3;Q6DN90-2;A0A2R8Y695;A0A0G2JLG2;Q9UPP2-2;Q9UPP2,IQ motif and SEC7 domain-containing protein 1,IQSEC1,26.60045355,28.78515884,24.34881351,28.73366483,27.30173285,28.91843454,27.56754057,27.96091102
Q9P2T1;A0A087WWM4;Q9P2T1-2;Q9P2T1-3;H0YNJ6;F8WAN9;H0YMB3;H0YLV5;H0YK13;H0YK71;H0YNH0;H0YLB8;H0YMV5;H0YNS9;H0YMR9;H0YN22;H0YMW6;H0YMG3;A0A0B4J281;H0YN74;H0YKK3;H0YKE1;H0YL68,GMP reductase 2;GMP reductase,GMPR2,30.34889369,30.70981001,29.67897275,30.21488848,30.24308985,30.58504066,29.53987884,30.6467584
A0A499FJY3;A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3;Q96T37;A0A494C001,Putative RNA-binding protein 15,RBM15,28.31911206,28.32988473,28.738537,28.44197672,28.56496345,28.27546491,28.98228792,28.63304832
A0A0C4DGT8;A0A087WWP8;Q5VWQ0,Round spermatid basic protein 1,RSBN1,NA,NA,NA,NA,NA,NA,NA,22.5096861
A0A087WWQ5;P36575-2;P36575;D6RCT3,Arrestin-C,ARR3,27.23471001,27.90299716,27.64409557,27.9234305,27.24018064,27.43133475,26.40062424,27.21549034
A0A087WWS1;Q96FV9;R4GMN4;A0A087WY84;Q96FV9-2;J3KT14;J3KRD7;J3QQZ3;R4GN58,THO complex subunit 1,THOC1,27.10848968,26.87783155,27.44978895,27.22839303,26.96763226,26.9780378,27.95659736,27.26338125
O95999;A0A087WWW9;A0A3B3ISX2,B-cell lymphoma/leukemia 10,BCL10,26.7280625,27.0437474,26.89804518,27.21196818,27.12139313,26.80968081,NA,27.70865947
A0A087WWY9;Q8TB24;Q8TB24-4;H0YJ83;G3V2I7,Ras and Rab interactor 3,RIN3,28.11028321,29.02825737,28.75139639,29.1777391,28.5513117,29.47049467,28.11906911,29.74796028
A0A087WXC5;E7ESZ7;O95299;O95299-2;Q8N1B9;C9J6X0;H7C2W5;H7C1Y7;H7C2X4,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,30.08144268,30.51530952,31.00617836,30.45522853,30.2946082,30.64426751,31.03983164,30.28592816
A0A087WXD1;Q96T83,Sodium/hydrogen exchanger;Sodium/hydrogen exchanger 7,SLC9A7,24.29803067,24.14055396,24.93377601,24.75052136,26.13145681,23.64844975,25.15034974,24.0019579
A0A087WXE2;Q8IZ73-2;Q8IZ73,RNA pseudouridylate synthase domain-containing protein 2,RPUSD2,NA,NA,23.63356112,NA,NA,24.75159432,NA,23.59900659
A0A087WXL6;B7Z879;A0A0G2JS92;A0A087X2J4;REV__Q53S60;REV__A0A3B3IS78;REV__O95342,,VPS11,30.75166773,30.98942495,31.01637696,30.92493158,30.92450691,31.15454455,30.75318313,30.96244258
A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;P18621-3;J3QLC8;A0A0A0MRF8;P18621-2;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3KSJ0,60S ribosomal protein L17,RPL17;RPL17-C18orf32,32.59539349,32.51253371,33.42279536,32.93336378,33.00054833,33.12466266,32.74428739,32.56860093
A0A087WXP3;E9PEE8;P18564-2;P18564,Integrin beta;Integrin beta-6,ITGB6,29.31049196,28.97317297,28.0976312,28.92175765,28.53006777,28.87023663,29.19708986,28.90589711
O43681;A0A087WXS7;K7ERW9,ATPase ASNA1,ASNA1,31.56424576,31.57749714,31.01211965,31.56624351,31.33394115,31.78861649,31.13393731,31.56447291
A0A087WXU0;Q9NWS8;A0A2R8Y4J4;Q9NWS8-2;Q5SZ82;A0A2R8Y4P5;A0A2R8YFC3,Required for meiotic nuclear division protein 1 homolog,RMND1,26.76002244,26.46468023,27.40778822,26.40499833,25.51541856,25.51806312,26.78369229,25.96289759
A0A087WY55;Q9NP79;Q5TGM0;Q9NP79-2,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,30.47788429,30.3877176,30.15605267,30.37368269,30.15749898,30.33766726,29.57025788,30.32109236
A0A087WY71;Q96CW1-2;Q96CW1;E9PFW3;C9JJ47;C9JTK4;C9JJD3;C9JPV8;H7C4C3,AP-2 complex subunit mu,AP2M1,32.60653319,33.48014969,32.41314099,33.41109624,32.46002268,33.24883985,32.94025979,33.53380347
A0A087WYN0;A0A087WY96;P31641;C9JPV1;P31641-2,Transporter;Sodium- and chloride-dependent taurine transporter,SLC6A6,NA,24.36372626,NA,24.39191797,NA,25.28386806,25.41289981,26.01456914
A0A087WYC8;Q9BZI7-2;Q9BZI7,Regulator of nonsense transcripts 3B,UPF3B,25.54527701,26.21565697,25.84651572,26.07263345,26.15938664,26.05200346,25.21667482,25.7613674
Q6UXV4;A0A087WYF7;A0A087WUX8,MICOS complex subunit MIC27,APOOL,26.03783313,27.15913638,26.13171192,27.47892585,28.23721996,27.88361086,29.43950192,27.76040322
G3V4A5;A0A087WYL7;O75586;O75586-2;O75586-3,Mediator of RNA polymerase II transcription subunit 6,MED6,NA,NA,NA,23.41982648,NA,NA,NA,23.30758106
Q7Z478;A0A087WYN9;H0Y8L1,ATP-dependent RNA helicase DHX29,DHX29,27.80587374,28.33445273,28.11147766,28.42534398,28.46680506,28.75547712,27.91905998,28.45552251
Q8IZQ5;A0A087WYP2;H0YE28,Selenoprotein H,SELH;C11orf31,27.34307956,28.02865258,26.210947,27.36836338,26.77303857,28.53096076,26.65826357,27.87865024
A0A087WYR0;P09132;A0A2U3TZN1;A0A087WWU9;D6RBG4;A0A2R8Y4M3;P09132-2,Signal recognition particle 19 kDa protein,SRP19,27.47529643,27.12336807,26.9312304,27.34604241,27.25457828,27.28788848,27.24036264,27.2654395
Q9ULU4-19;Q9ULU4-9;A0A087WYS3;H7C4X9;Q9ULU4-12;Q9ULU4-7;Q9ULU4-11;Q9ULU4-10;Q9ULU4-13;Q9ULU4-20;Q9ULU4;Q9ULU4-5;Q9ULU4-16;Q9ULU4-14;Q9ULU4-18;Q9ULU4-21;Q9ULU4-8;Q9ULU4-15;Q9ULU4-17;Q9ULU4-22;Q9ULU4-23;Q9ULU4-6;A0A087WVZ6;Q9ULU4-3;Q9ULU4-4;Q9ULU4-2;A0A087WV57;Q5TH12,Protein kinase C-binding protein 1,ZMYND8,26.24916207,25.74619589,26.93415859,25.4986272,26.06599489,25.66541096,26.33488743,25.55461602
A0A087WYT3;Q15185-4;Q15185;Q15185-3;B4DDC6;Q15185-2,Prostaglandin E synthase 3,PTGES3,32.37360491,32.50481337,32.1327123,32.54471342,32.52330127,32.64896654,31.92358635,33.01336821
A0A087WZ13;E9PAU2;Q8IY67-2;Q8IY67;K7EKR9;K7EQG2;Q8IY67-3,Ribonucleoprotein PTB-binding 1,RAVER1,28.857034,28.63733917,29.17114323,28.38108868,28.80448965,28.38376862,28.7024967,28.56289116
A0A087WZ62;Q9H6U8;Q9H6U8-3;H0YCW6;Q9H6U8-2;Q9H6U8-4;A0A087WV58;A0A087WVC0;A0A087WZY8;A0A087WTZ3,"Alpha-1,2-mannosyltransferase ALG9",ALG9,NA,25.63303446,NA,25.44647983,25.25198104,25.33827529,26.40285359,NA
A0A087WZ88;P19793-2;P19793;P48443;A0A0G2JKR7;P28702;P28702-3;A0A0G2JHI1,Retinoic acid receptor RXR-alpha;Retinoic acid receptor RXR-gamma;Retinoic acid receptor RXR-beta,RXRG;RXRA;RXRB,24.62410736,26.07310354,24.77685788,26.55870844,23.33551793,26.6292312,24.51171405,26.76761892
