Table S4: Log2 LFQ data of proteomes of resting and activated CD8+ T cells. Related to Figure 5A.,,,,,,,,,,,,,,,,,,,,,
Protein.IDs,Protein.names,Gene.names,LFQ.intensity.CD8TCellnaive_01,LFQ.intensity.CD8TCellnaive_03,LFQ.intensity.CD8TCellnaive_04,LFQ.intensity.CD8TCellnaive_05,LFQ.intensity.Naive_T013_CD8_12h,LFQ.intensity.Naive_T016_CD8_12h,LFQ.intensity.Naive_T017_CD8_12h,LFQ.intensity.Naive_T013_CD8_24h,LFQ.intensity.Naive_T014_CD8_24h,LFQ.intensity.Naive_T015_CD8_24h,LFQ.intensity.Naive_T009_CD8_48h,LFQ.intensity.Naive_T013_CD8_48h,LFQ.intensity.Naive_T016_CD8_48h,LFQ.intensity.Naive_T015_CD8_72h,LFQ.intensity.Naive_T016_CD8_72h,LFQ.intensity.Naive_T017_CD8_72h,LFQ.intensity.Naive_T008_CD8_96h,LFQ.intensity.Naive_T016_CD8_96h,LFQ.intensity.Naive_T017_CD8_96h
A5YKK6;A5YKK6-2;A5YKK6-3;A5YKK6-4;B5MDN3;H3BMZ2;H3BVC9;H3BNB1;H3BTH2;H3BT18;H3BU44;H3BMH0;H3BR89;H3BUY8;H3BPF1,CCR4-NOT transcription complex subunit 1,CNOT1,29.65713933,29.78001938,29.69338571,29.8716472,29.96801695,30.04492006,29.96966449,30.15569087,30.13626197,30.22538504,29.18536879,30.00918544,30.14150925,30.18989904,30.13344743,29.94139719,29.55672945,29.92535613,30.09421166
A5YM72;E9PK38;F5H427;A5YM72-3,Carnosine synthase 1,CARNS1,NA,NA,NA,NA,22.45136206,22.73504361,22.81479836,22.27951763,21.58865974,22.50627562,NA,NA,21.61970416,NA,20.74443641,NA,NA,NA,NA
A6NC98;A6NC98-4;A6NC98-2;A6NC98-5;H7BY33;A6NC98-3;A6NC98-6;Q3V6T2;Q3V6T2-5;Q3V6T2-4;Q3V6T2-2;Q3V6T2-3,Coiled-coil domain-containing protein 88B,CCDC88B,28.24354388,27.7104342,27.61526502,27.56121661,27.53971248,27.39353906,28.12326939,27.79104124,27.76660837,27.21872685,27.10928708,27.83484791,27.46185785,27.99150783,27.28392103,27.85602481,27.40624796,28.08825844,28.23320194
Q9GZQ8;A6NCE7;H3BTL1;Q9H492;Q9H492-2;H3BTE7,Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3A,MAP1LC3B;MAP1LC3B2;MAP1LC3A,NA,NA,NA,NA,24.78031668,24.88072994,24.84311635,25.16637642,25.14109992,25.33227726,25.35964394,25.87180581,25.82408103,24.67395212,25.81706972,25.08691304,25.31344025,25.66041423,25.39848929
J3KPP0;Q9Y6G3;A6NCI0,"39S ribosomal protein L42, mitochondrial",MRPL42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.44985191,NA,23.99057767,23.80656221,23.87960868,NA,23.45186509,NA
Q86SQ7;A6NCS9;Q86SQ7-3;Q86SQ7-4;E9PFS7;Q86SQ7-2,Serologically defined colon cancer antigen 8,SDCCAG8,NA,NA,NA,NA,19.16952381,18.97471706,19.22517448,NA,NA,NA,NA,19.84735714,NA,21.65083964,NA,22.09352073,19.92530814,NA,19.48583324
Q7LGA3;Q7LGA3-3;Q7LGA3-2;A6ND99,Heparan sulfate 2-O-sulfotransferase 1,HS2ST1,23.20542756,23.2790925,23.75470649,23.24580104,22.97056655,23.39047548,22.97479057,23.16444418,23.47975856,24.07193824,NA,23.53005288,23.05090814,NA,24.1435931,22.162663,21.75070535,23.69157656,NA
Q7LDG7;A6NDC7;Q7LDG7-2;E7EM78;E7EMB4;E7EWQ7;Q7LDG7-3;A6NJ28;C9JZ82;A6NHE2;A8MVK8;A8MTF9;C9JKH6,RAS guanyl-releasing protein 2,RASGRP2,29.43131482,29.51913984,29.81079953,30.12681773,29.67335574,29.38849789,28.9228353,28.55775215,28.91516077,29.21537462,26.29545801,27.45630616,27.91027903,21.39204904,27.54237196,21.34792193,20.10456804,27.07765351,24.3661968
A6NDG6;H3BV17,Phosphoglycolate phosphatase,PGP,26.66152913,27.62679686,26.19668661,27.12671928,26.62491613,26.81115182,26.72974872,26.78992263,26.71698834,26.88460095,26.82505213,25.4292448,27.25952534,28.53330222,27.20219095,28.85590603,27.44813534,26.98370184,28.04947136
A6NDU8,UPF0600 protein C5orf51,C5orf51,NA,NA,NA,NA,25.05746759,24.75419676,24.51460619,24.76617867,25.07332832,25.11115924,24.49680015,25.13840712,25.31848296,24.63389366,25.05944943,24.71481567,23.67970774,24.61183666,24.15692063
Q86X29;B4DKL4;A6NDW3;Q86X29-4;Q86X29-3;Q86X29-2;M0QZL9;M0R2C4;M0R1W9;M0QY03,Lipolysis-stimulated lipoprotein receptor;Protein FAM131B,LSR;FAM131B,24.68330007,24.56796118,25.33909128,23.97132112,24.91031334,25.20071395,24.32505342,25.64531936,25.6530506,24.28651433,25.66451608,23.83084089,25.80882202,24.77062115,24.03212579,24.68163906,25.17043184,24.13805551,24.72837395
A6NED2;G3V2I3,RCC1 domain-containing protein 1,RCCD1,23.39584475,22.85925647,22.78709988,24.0663645,NA,22.77404463,23.82220981,NA,22.20553197,NA,NA,NA,22.52678576,23.86947788,22.96375759,24.18910727,23.15607196,22.37283956,23.36345892
A6NEM2,,HCFC1,31.13124091,31.35652214,31.38453046,31.27763901,31.04843233,31.07003237,31.12293628,30.97466423,31.12299797,31.1267562,30.60275577,30.78183356,30.87862101,31.22515517,30.78394202,31.34672934,30.68662304,30.64873088,31.03367551
Q9Y2X9;A6NF48,Zinc finger protein 281,ZNF281,NA,NA,NA,NA,23.95189297,24.64960134,23.55870844,24.11489628,23.63278491,24.77323984,22.2015592,25.00859788,24.0517546,25.00036834,23.14136502,25.36899608,NA,23.18218155,23.73912958
A6NFI3,Zinc finger protein 316,ZNF316,23.7432451,23.77313921,24.11298921,23.48419156,22.7598955,23.48517483,23.5168917,NA,23.26570775,22.99443286,NA,NA,22.93574633,NA,23.48591183,NA,NA,NA,NA
Q8IZP0;Q8IZP0-3;Q8IZP0-2;Q8IZP0-10;Q8IZP0-8;F5H1G9;Q8IZP0-7;F8WA55;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;F8WA56;A6NFN2;Q8IZP0-12;Q8IZP0-11;H0Y6B5;F8WAL6,Abl interactor 1,ABI1,26.11312835,26.32524217,24.21081698,25.9369461,27.54767627,27.16662543,27.25574912,26.74393844,26.71200991,26.5824767,26.24385255,26.1032758,26.65826357,26.64842232,25.43211571,26.67720928,25.90018929,25.99315038,25.90701533
A6NFQ2;A6NFQ2-2;A6NFQ2-3;H0YC74;Q8N1I1,Protein FAM115C,FAM115C,28.08136649,28.08065515,28.02765117,28.13579734,26.97344671,27.58992289,27.86455098,26.81702091,27.66864687,27.93691241,26.79463975,26.49888584,27.70444394,27.21456429,28.1623576,27.25412771,26.93584523,27.68358118,28.10404608
Q92599;Q92599-2;A6NMH6;A6NFQ9;F6W7K9;F8W8I8;Q92599-3;C9JV02;Q9P0V9;C9J4G8;B7Z277;B7Z371;Q9P0V9-3;E7EW69;E7EX04;Q9P0V9-2;B5ME97;H7C604,Septin-8,Sep-08,NA,NA,NA,NA,23.0380509,22.69606335,NA,22.88703017,22.96611886,24.24851076,23.56825119,24.20396508,23.09027721,24.2642049,23.6793856,24.44978895,24.82788886,23.91451652,25.35790042
Q96EV8;Q96EV8-2;A6NFV8;D6RCT8;D6RID1;Q96EV8-3;D6RAX1;D6RJC6,Dysbindin,DTNBP1,26.0173756,27.16767846,25.42399863,26.18196174,24.90347993,23.07929857,NA,24.93341584,25.44205584,25.79664606,NA,23.11316413,25.8070292,23.64943688,NA,23.27739071,24.09079408,NA,23.32141068
Q969T9;K7EIJ0;K7ENL2;A6NG10;K7EMC9;B4DFG2;K7EIN1;K7ESN4;K7EIK1,WW domain-binding protein 2,WBP2,27.41868506,27.05393069,26.76584999,27.45049706,26.43297587,27.38845684,27.07663458,26.87888406,26.47136327,26.25896852,26.27650356,26.89342338,26.65526364,27.47111515,26.7332446,27.962677,26.51759767,27.20134981,27.38335664
Q92733;A6NG79;H0YE12;H0Y679,Proline-rich protein PRCC,PRCC,26.42692796,26.91763813,26.74586263,26.15649636,26.31028826,26.66857925,26.4146104,26.57974637,25.90249123,27.08151887,26.40694533,26.61876926,26.57093099,27.08638668,26.79191067,26.95759397,27.06332266,26.62142681,26.33198695
P05026;B7Z9S8;A6NGH2;P05026-2,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,21.38173727,23.63056487,21.83314025,NA,22.03855333,22.95622512,22.25037707,23.34732724,23.75133892,23.6053511,22.95666826,24.77991609,24.02369142,23.02648022,25.19880471,22.28990856,22.07169279,25.37706354,22.39903066
P51808;A6NGJ0;F2Z328,Dynein light chain Tctex-type 3,DYNLT3,27.12405866,25.69226856,26.90586843,26.66424479,27.26999298,27.5383809,27.54495288,26.74778426,27.01211965,27.25160188,26.64416435,26.68217507,26.86667467,27.24145414,26.47670295,25.83296648,26.36783037,26.69909096,25.13782106
Q9NR34;A6NGN6;B1AJZ5,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC",MAN1C1,NA,NA,NA,22.97571785,NA,22.79592312,23.35380157,22.87340731,23.06647947,24.24474185,NA,22.93547658,23.68324652,NA,25.27944679,NA,NA,24.26870875,NA
Q8N2K1;D6RD90;B1AMF0;A6NGS0;Q8N2K1-2;Q8N2K1-3,Ubiquitin-conjugating enzyme E2 J2,UBE2J2,NA,NA,NA,NA,23.79887202,23.54321311,22.96088009,23.94592386,23.79897088,24.46382318,22.94822534,23.29108974,23.49631255,22.73299628,NA,23.26155322,22.70562817,23.86495236,23.63588725
O95070;E9PIZ0;C9JST7;A6NGW1;F8W9A1,Protein YIF1A,YIF1A,NA,NA,NA,NA,23.93786659,24.05133973,23.96208122,24.01852213,23.68238943,25.52901035,24.10956607,23.11567427,23.64658332,NA,24.02799911,NA,24.09289196,23.55051195,23.59092233
Q14202;Q14202-2;A6NHB5;A6NHN7;Q14202-3;A6NL54;A6NC58,Zinc finger MYM-type protein 3,ZMYM3,26.08788428,27.30539076,26.90735923,26.61343945,26.12624664,26.31513463,26.37866833,26.06566627,26.57056914,25.66798403,25.48213068,25.65140912,25.98039326,25.65550932,25.9812429,26.11424101,25.43160574,25.388736,26.04036481
A6NHL2-2;A6NHL2,Tubulin alpha chain-like 3,TUBAL3,NA,NA,NA,21.34321175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9HBD1-3;A6NHN2;Q9HBD1;Q9HBD1-2;Q9HBD1-6;Q4VXB0;Q9HBD1-4;Q5TC82;Q5TC82-2,RING finger and CCCH-type zinc finger domain-containing protein 2,RC3H2,NA,NA,NA,NA,21.05536718,21.15233189,20.55008916,20.86060205,21.03671023,20.04713457,22.7163238,21.27292816,21.18543685,NA,20.70607101,NA,20.8438352,NA,NA
A6NHQ2,rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1,FBLL1,28.74506119,29.26561834,28.9651017,29.24576659,28.41703565,28.45795043,28.20769297,29.10998444,28.80495116,28.09536917,27.58068101,27.56019637,27.32671708,27.56209053,28.03412173,28.25047285,27.10199442,27.16739135,27.07091527
A6NHR9;A6NHR9-2;J3KTL8;A6NHR9-3;J3QSH1;J3KRK8;J3KTK7,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1,31.04745755,31.00524155,31.10468351,30.97903334,30.89149808,30.81252953,30.86879524,30.77650966,30.79273304,30.91598703,30.06110919,30.48586962,30.56219974,29.53739992,30.71464865,28.59370284,29.85856128,30.69419976,29.97841973
Q99640;B4DXD4;A6NHV6;Q99640-2;I3L1V2;B4DZM6,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,PKMYT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.60867084,22.35611449,NA,22.66431533,NA,NA,22.57574789,NA
P63092;Q5JWF2;A6NI00;P38405;P38405-2;Q5JWE9;Q5JWD1;H0Y7E8;K7EQ80;K7EPE2,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,GNAS,28.47367182,28.64309789,28.64492071,28.57170503,28.40799076,28.61848924,28.89968813,28.49044842,28.67182156,28.87783155,28.28964829,28.34840831,28.34066245,27.59313292,28.50123434,27.41272217,28.80399721,28.62404459,28.53017942
A6NIH7,Protein unc-119 homolog B,UNC119B,25.22177177,25.68471845,25.64474197,25.58006277,25.94357847,26.07942472,26.09978938,25.55856248,26.01246069,26.42263598,25.29140596,24.98350615,26.26635135,26.04774616,25.78563904,26.25281122,25.39348997,25.97862703,26.09962889
Q5JSL3;A6NIW2,Dedicator of cytokinesis protein 11,DOCK11,30.11346621,29.90311212,29.9983305,30.14649476,30.02933736,29.93185032,30.33063282,29.78503408,29.6328577,30.10686861,28.72048262,29.10990974,29.15001072,26.61946909,29.62618763,26.19358822,27.89093303,29.36076606,28.01595179
Q9GZM8;A6NIZ0;J3QT32;Q9GZM8-2;J3QRZ1;J3KRK9;J3QL85,Nuclear distribution protein nudE-like 1,NDEL1,24.66345778,NA,25.5395498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NJ78;A6NJ78-2;A6NJ78-4;P0C7V9;B5MC64;A6NJ78-3;F8WD83,Probable methyltransferase-like protein 15,METTL15,23.00135665,23.38165807,23.81772848,22.66385948,22.91044145,22.79378189,22.72880987,22.9403602,22.19096159,21.93951752,24.17979978,22.87190449,23.90903168,24.96763226,22.93317268,25.46920632,23.46811886,23.504337,25.07785721
Q86XN7;A6NJ97;Q5JS36;Q5JS34,Proline and serine-rich protein 1,PROSER1;C13orf23,NA,NA,NA,NA,22.5299576,NA,NA,22.33109517,22.48748286,22.09145605,21.94556672,NA,22.63040934,24.07789794,21.06414541,22.87846783,22.98086825,NA,24.03766558
