biosequence_name,biosequence_accession,biosequence_gene_name,is_covering,pct_coverage,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,n_distinct_synpeptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name,gene
Q12802,Q12802,NA,C,NA,canonical,1,0,4,0.001,4,NA,NA,NA,NA,NA,NA,NA,NA,Q12802,2234,8,NA,NA,NA,nP20K \PName=A-kinase anchor protein 13 isoform Iso 1 \GName=AKAP13 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=2813 \SV=2 \EV=196 \PE=1 \ModResPsi=(186|MOD:00134|N6-glycyl-L-lysine)(332|MOD:00046|O-phospho-L-serine)(336|MOD:00047|O-phospho-L-threonine),Homo sapiens,AKAP13
Q9NXG2,Q9NXG2,NA,C,NA,canonical,1,0,5749,5.933,5,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=THUMP domain-containing protein 1 isoform Iso 1 \GName=THUMPD1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=353 \SV=2 \EV=145 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(15|MOD:00134|N6-glycyl-L-lysine)(79|MOD:00047|O-phospho-L-threoni,Homo sapiens,THUMPD1
Q8TAC1,Q8TAC1,NA,C,NA,canonical,1,0,24,0.054,5,NA,NA,NA,NA,NA,NA,NA,NA,Q8TAC1,3115,4,NA,NA,NA,nP20K \PName=Rieske domain-containing protein isoform Iso 1 \GName=RFESD \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=157 \SV=1 \EV=139 \PE=1 \ModResPsi=(1|MOD:00058|N-acetyl-L-methionine)(6|MOD:00046|O-phospho-L-serine) \VariantSimple=(1|I)(2|K)(7|E)(7|,Homo sapiens,RFESD
Q9P2E7,Q9P2E7,NA,C,NA,canonical,1,0,30,0.014,5,NA,NA,NA,NA,NA,NA,NA,NA,P24821,1454,72,NA,NA,NA,nP20K \PName=Protocadherin-10 isoform Iso 1 \GName=PCDH10 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1040 \SV=2 \EV=165 \PE=1 \ModResPsi=(897|MOD:00046|O-phospho-L-serine)(916|MOD:00046|O-phospho-L-serine)(921|MOD:00046|O-phospho-L-serine) \ModRes=(273,Homo sapiens,PCDH10
P17677,P17677,NA,C,NA,canonical,1,0,10,0.019,5,NA,NA,NA,NA,NA,NA,NA,NA,P17677,1329,2,NA,NA,NA,nP20K \PName=Neuromodulin isoform Iso 1 \GName=GAP43 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=238 \SV=1 \EV=211 \PE=1 \ModResPsi=(3|MOD:00115|S-palmitoyl-L-cysteine)(4|MOD:00115|S-palmitoyl-L-cysteine)(41|MOD:00046|O-phospho-L-serine)(87|MOD:00047|O-,Homo sapiens,GAP43
O95352,O95352,NA,C,NA,canonical,1,0,12,0.007,6,NA,NA,NA,NA,NA,NA,NA,NA,O95352,903,41,NA,NA,NA,nP20K \PName=Ubiquitin-like modifier-activating enzyme ATG7 isoform Iso 1 \GName=ATG7 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=703 \SV=1 \EV=185 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(531|MOD:00046|O-phospho-L-serine)(689|MOD:00047|O-phosp,Homo sapiens,ATG7
Q9H156,Q9H156,NA,C,NA,canonical,1,0,28,0.015,6,NA,NA,NA,NA,NA,NA,NA,NA,P02750,1011,92,NA,NA,NA,nP20K \PName=SLIT and NTRK-like protein 2 isoform Iso 1 \GName=SLITRK2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=845 \SV=1 \EV=175 \PE=1 \ModResPsi=(29|MOD:00798|half cystine)(35|MOD:00798|half cystine)(33|MOD:00798|half cystine)(46|MOD:00798|half cys,Homo sapiens,SLITRK2
P83105,P83105,NA,C,NA,canonical,1,0,8,0.008,6,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Serine protease HTRA4 isoform Iso 1 \GName=HTRA4 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=476 \SV=1 \EV=158 \PE=1 \ModResPsi=(108|MOD:00798|half cystine)(127|MOD:00798|half cystine)(116|MOD:00798|half cystine)(152|MOD:00798|half cystine),Homo sapiens,HTRA4
Q9BZG1,Q9BZG1,NA,C,NA,canonical,1,0,343,0.458,6,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Ras-related protein Rab-34 isoform Iso 1 \GName=RAB34 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=259 \SV=1 \EV=191 \PE=1 \ModResPsi=(1|MOD:00058|N-acetyl-L-methionine)(168|MOD:00134|N6-glycyl-L-lysine)(241|MOD:00046|O-phospho-L-serine)(244,Homo sapiens,RAB34
Q9UHA4,Q9UHA4,NA,C,NA,canonical,1,0,18,0.068,6,NA,NA,NA,NA,NA,NA,NA,NA,Q9UHA4,4038,8,NA,NA,NA,nP20K \PName=Ragulator complex protein LAMTOR3 isoform Iso 1 \GName=LAMTOR3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=124 \SV=1 \EV=173 \PE=1 \ModResPsi=(62|MOD:00134|N6-glycyl-L-lysine) \VariantSimple=(2|P)(3|Y)(7|L)(7|Q)(8|S)(9|F)(9|S)(14|R)(14|S)(1,Homo sapiens,LAMTOR3
Q92824,Q92824,NA,C,NA,canonical,1,0,97,0.022,6,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Proprotein convertase subtilisin/kexin type 5 isoform PC6B \GName=PCSK5 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1860 \SV=4 \EV=210 \PE=1 \ModResPsi=(56|MOD:00134|N6-glycyl-L-lysine) \ModRes=(225||N-linked (GlcNAc...) asparagine)(381||N-,Homo sapiens,PCSK5
Q02388,Q02388,NA,C,NA,canonical,1,0,17,0.002,6,NA,NA,NA,NA,NA,NA,NA,NA,Q14554,2386,31,NA,NA,NA,nP20K \PName=Collagen alpha-1(VII) chain isoform Iso 1 \GName=COL7A1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=2944 \SV=2 \EV=243 \PE=1 \ModResPsi=(828|MOD:00046|O-phospho-L-serine)(2036|MOD:00039|4-hydroxy-L-proline)(2039|MOD:00039|4-hydroxy-L-prolin,Homo sapiens,COL7A1
Q9H4D0,Q9H4D0,NA,C,NA,canonical,1,0,56,0.028,6,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Calsyntenin-2 isoform Iso 1 \GName=CLSTN2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=955 \SV=2 \EV=172 \PE=1 \ModRes=(56||N-linked (GlcNAc...) asparagine)(98||N-linked (GlcNAc...) asparagine)(342||N-linked (GlcNAc...) asparagine)(374||N-li,Homo sapiens,CLSTN2
P31415,P31415,NA,C,NA,canonical,1,0,501,0.812,6,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Calsequestrin-1 isoform Iso 1 \GName=CASQ1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=396 \SV=3 \EV=187 \PE=1 \ModResPsi=(43|MOD:00048|O4'-phospho-L-tyrosine)(81|MOD:00046|O-phospho-L-serine)(124|MOD:00047|O-phospho-L-threonine)(216|MOD:00,Homo sapiens,CASQ1
Q9UQB8,Q9UQB8,NA,C,NA,canonical,1,0,11,0.007,6,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Brain-specific angiogenesis inhibitor 1-associated protein 2 isoform Iso 1 \GName=BAIAP2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=552 \SV=1 \EV=197 \PE=1 \ModResPsi=(17|MOD:00048|O4'-phospho-L-tyrosine)(164|MOD:00048|O4'-phospho-L-tyrosi,Homo sapiens,BAIAP2
Q01432,Q01432,NA,C,NA,canonical,1,0,14,0.009,6,NA,NA,NA,NA,NA,NA,NA,NA,Q01433,2134,49,NA,NA,NA,nP20K \PName=AMP deaminase 3 isoform 1B \GName=AMPD3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=767 \SV=1 \EV=198 \PE=1 \ModResPsi=(83|MOD:00046|O-phospho-L-serine)(85|MOD:00046|O-phospho-L-serine)(103|MOD:00046|O-phospho-L-serine)(107|MOD:00046|O-phos,Homo sapiens,AMPD3
Q86TD4,Q86TD4,NA,C,NA,canonical,1,0,19,0.017,7,NA,NA,NA,NA,NA,NA,NA,NA,Q86TD4,2886,6,NA,NA,NA,nP20K \PName=Sarcalumenin isoform Iso 1 \GName=SRL \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=473 \SV=3 \EV=135 \PE=1 \ModResPsi=(36|MOD:00046|O-phospho-L-serine)(54|MOD:00046|O-phospho-L-serine)(66|MOD:00046|O-phospho-L-serine)(131|MOD:00047|O-phospho,Homo sapiens,SRL
Q9BUH6,Q9BUH6,NA,C,NA,canonical,1,0,25,0.044,7,NA,NA,NA,NA,NA,NA,NA,NA,Q9BUH6,3564,6,NA,NA,NA,nP20K \PName=Protein PAXX isoform Iso 1 \GName=PAXX \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=204 \SV=2 \EV=146 \PE=1 \ModResPsi=(134|MOD:00046|O-phospho-L-serine)(145|MOD:00047|O-phospho-L-threonine)(148|MOD:00046|O-phospho-L-serine)(152|MOD:00046|O-,Homo sapiens,PAXX
Q92835,Q92835,NA,C,NA,canonical,1,0,551,0.174,7,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,"nP20K \PName=Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 isoform Iso 1 \GName=INPP5D \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1189 \SV=2 \EV=177 \PE=1 \ModResPsi=(136|MOD:00046|O-phospho-L-serine)(243|MOD:00046|O-phospho-L-serine)(263|MO",Homo sapiens,INPP5D
Q9BV20,Q9BV20,NA,C,NA,canonical,1,0,123,0.127,7,NA,NA,NA,NA,NA,NA,NA,NA,Q9BV20,3569,14,NA,NA,NA,nP20K \PName=Methylthioribose-1-phosphate isomerase isoform Iso 1 \GName=MRI1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=369 \SV=1 \EV=167 \PE=1 \ModResPsi=(1|MOD:00058|N-acetyl-L-methionine)(9|MOD:00046|O-phospho-L-serine)(12|MOD:00046|O-phospho-L-ser,Homo sapiens,MRI1
Q96AB3,Q96AB3,NA,C,NA,canonical,1,0,32,0.081,7,NA,NA,NA,NA,NA,NA,NA,NA,Q96AB3,3280,18,NA,NA,NA,nP20K \PName=Isochorismatase domain-containing protein 2 isoform Iso 1 \GName=ISOC2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=205 \SV=1 \EV=150 \PE=1 \ModResPsi=(7|MOD:00046|O-phospho-L-serine)(26|MOD:00064|N6-acetyl-L-lysine)(26|MOD:00134|N6-glycyl-L,Homo sapiens,ISOC2
Q709C8,Q709C8,NA,C,NA,canonical,1,0,367,0.041,7,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Intermembrane lipid transfer protein VPS13C isoform Iso 1 \GName=VPS13C \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=3753 \SV=1 \EV=143 \PE=1 \ModResPsi=(132|MOD:00046|O-phospho-L-serine)(578|MOD:00134|N6-glycyl-L-lysine)(614|MOD:00047|O-pho,Homo sapiens,VPS13C
P51124,P51124,NA,C,NA,canonical,1,0,603,0.913,7,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Granzyme M isoform Iso 1 \GName=GZMM \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=257 \SV=2 \EV=171 \PE=1 \ModResPsi=(51|MOD:00798|half cystine)(67|MOD:00798|half cystine)(145|MOD:00798|half cystine)(213|MOD:00798|half cystine)(176|MOD:00798,Homo sapiens,GZMM
Q8IZ52,Q8IZ52,NA,C,NA,canonical,1,0,291,0.169,7,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Chondroitin sulfate synthase 2 isoform Iso 1 \GName=CHPF \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=775 \SV=2 \EV=168 \PE=1 \ModRes=(138||N-linked (GlcNAc...) asparagine)(361||N-linked (GlcNAc...) asparagine) \VariantSimple=(1|L)(4|P)(4|T),Homo sapiens,CHPF
P20338,P20338,NA,C,NA,canonical,1,0,348,0.564,8,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Ras-related protein Rab-4A isoform Iso 1 \GName=RAB4A \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=218 \SV=3 \EV=224 \PE=1 \ModResPsi=(4|MOD:00047|O-phospho-L-threonine)(45|MOD:00047|O-phospho-L-threonine)(72|MOD:01775|5-glutamyl serotonin)(,Homo sapiens,RAB4A
Q9UNP9,Q9UNP9,NA,C,NA,canonical,1,0,887,1.119,8,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Peptidyl-prolyl cis-trans isomerase E isoform A \GName=PPIE \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=301 \SV=1 \EV=210 \PE=1 \ModResPsi=(91|MOD:00046|O-phospho-L-serine)(92|MOD:00046|O-phospho-L-serine)(97|MOD:00046|O-phospho-L-serine)(1,Homo sapiens,PPIE
P43146,P43146,NA,C,NA,canonical,1,0,61,0.021,8,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Netrin receptor DCC isoform Iso 1 \GName=DCC \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1447 \SV=2 \EV=209 \PE=1 \ModResPsi=(61|MOD:00798|half cystine)(117|MOD:00798|half cystine)(161|MOD:00798|half cystine)(212|MOD:00798|half cystine)(261,Homo sapiens,DCC
O95965,O95965,NA,C,NA,canonical,1,0,16,0.014,8,NA,NA,NA,NA,NA,NA,NA,NA,O95965,949,9,NA,NA,NA,nP20K \PName=Integrin beta-like protein 1 isoform Iso 1 \GName=ITGBL1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=494 \SV=1 \EV=182 \PE=1 \ModRes=(405||N-linked (GlcNAc...) asparagine) \VariantSimple=(2|C)(3|S)(4|A)(4|S)(5|A)(5|C)(5|S)(5|V)(7|G)(7|K)(8|,Homo sapiens,ITGBL1
P13762,P13762,NA,C,NA,canonical,1,0,100,0.175,8,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,"nP20K \PName=HLA class II histocompatibility antigen, DR beta 4 chain isoform Iso 1 \GName=HLA-DRB4 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=266 \SV=2 \EV=158 \PE=1 \ModResPsi=(44|MOD:00798|half cystine)(108|MOD:00798|half cystine)(146|MOD:00798|half",Homo sapiens,HLA-DRB4
Q9H583,Q9H583,NA,C,NA,canonical,1,0,69,0.013,8,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=HEAT repeat-containing protein 1 isoform Iso 1 \GName=HEATR1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=2144 \SV=3 \EV=190 \PE=1 \ModResPsi=(1|MOD:00058|N-acetyl-L-methionine)(2|MOD:00061|N-acetyl-L-threonine)(516|MOD:00046|O-phospho-L-ser,Homo sapiens,HEATR1
Q8N335,Q8N335,NA,C,NA,canonical,1,0,52,0.051,8,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Glycerol-3-phosphate dehydrogenase 1-like protein isoform Iso 1 \GName=GPD1L \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=351 \SV=1 \EV=166 \PE=1 \ModResPsi=(309|MOD:00048|O4'-phospho-L-tyrosine) \VariantSimple=(2|V)(3|V)(4|V)(5|L)(5|S)(8|E),Homo sapiens,GPD1L
O00757,O00757,NA,C,NA,canonical,1,0,236,0.315,8,NA,NA,NA,NA,NA,NA,NA,NA,P09467,1155,10,NA,NA,NA,"nP20K \PName=Fructose-1,6-bisphosphatase isozyme 2 isoform Iso 1 \GName=FBP2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=339 \SV=2 \EV=183 \PE=1 \ModResPsi=(144|MOD:00046|O-phospho-L-serine)(149|MOD:00046|O-phospho-L-serine)(216|MOD:00048|O4'-phospho-L-",Homo sapiens,FBP2
Q96C19,Q96C19,NA,C,NA,canonical,1,0,55,0.104,8,NA,NA,NA,NA,NA,NA,NA,NA,Q96C19,3299,20,NA,NA,NA,nP20K \PName=EF-hand domain-containing protein D2 isoform Iso 1 \GName=EFHD2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=240 \SV=1 \EV=169 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(9|MOD:00134|N6-glycyl-L-lysine)(11|MOD:00046|O-phospho-L-serine),Homo sapiens,EFHD2
Q5XPI4,Q5XPI4,NA,C,NA,canonical,1,0,33,0.012,8,NA,NA,NA,NA,NA,NA,NA,NA,Q5XPI4,2674,11,NA,NA,NA,nP20K \PName=E3 ubiquitin-protein ligase RNF123 isoform Iso 1 \GName=RNF123 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1314 \SV=1 \EV=170 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(11|MOD:00046|O-phospho-L-serine)(33|MOD:00134|N6-glycyl-L-lysine,Homo sapiens,RNF123
Q02246,Q02246,NA,C,NA,canonical,1,0,16,0.007,8,NA,NA,NA,NA,NA,NA,NA,NA,Q02246,2152,22,NA,NA,NA,nP20K \PName=Contactin-2 isoform Iso 1 \GName=CNTN2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1040 \SV=1 \EV=206 \PE=1 \ModResPsi=(61|MOD:00798|half cystine)(111|MOD:00798|half cystine)(155|MOD:00798|half cystine)(207|MOD:00798|half cystine)(261|MOD:0,Homo sapiens,CNTN2
P02585,P02585,NA,C,NA,canonical,1,0,97,0.22,9,NA,NA,NA,NA,NA,NA,NA,NA,P0DP23,1184,47,NA,NA,NA,"nP20K \PName=Troponin C, skeletal muscle isoform Iso 1 \GName=TNNC2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=160 \SV=2 \EV=193 \PE=1 \ModResPsi=(2|MOD:00061|N-acetyl-L-threonine)(50|MOD:00047|O-phospho-L-threonine)(92|MOD:00046|O-phospho-L-serine)(13",Homo sapiens,TNNC2
P53597,P53597,NA,C,NA,canonical,1,0,49,0.074,9,NA,NA,NA,NA,NA,NA,NA,NA,P53597,1869,16,NA,NA,NA,"nP20K \PName=Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial isoform Iso 1 \GName=SUCLG1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=346 \SV=4 \EV=212 \PE=1 \ModResPsi=(54|MOD:00064|N6-acetyl-L-lysine)(57|MOD:01819|N6-succinyl-L-lys",Homo sapiens,SUCLG1
Q9H3U7,Q9H3U7,NA,C,NA,canonical,1,0,95,0.114,9,NA,NA,NA,NA,NA,NA,NA,NA,Q9H4F8,3716,14,NA,NA,NA,nP20K \PName=SPARC-related modular calcium-binding protein 2 isoform Iso 1 \GName=SMOC2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=446 \SV=2 \EV=179 \PE=1 \ModResPsi=(40|MOD:00798|half cystine)(71|MOD:00798|half cystine)(44|MOD:00798|half cystine)(64|M,Homo sapiens,SMOC2
P50452,P50452,NA,C,NA,canonical,1,0,165,0.17,9,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Serpin B8 isoform Iso 1 \GName=SERPINB8 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=374 \SV=2 \EV=175 \PE=1 \VariantSimple=(2|Y)(3|E)(4|F)(5|Y)(8|D)(8|K)(10|A)(10|P)(13|T)(16|L)(17|T)(20|E)(24|S)(26|G)(26|K)(28|I)(29|L)(29|S)(32|A)(32|L)(32,Homo sapiens,SERPINB8
Q15286,Q15286,NA,C,NA,canonical,1,0,596,1.128,9,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Ras-related protein Rab-35 isoform Iso 1 \GName=RAB35 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=201 \SV=1 \EV=207 \PE=1 \ModResPsi=(49|MOD:00047|O-phospho-L-threonine)(72|MOD:00047|O-phospho-L-threonine)(75|MOD:01588|O-cholinephosphoryl-L,Homo sapiens,RAB35
